1A				
ei dift 1 tavussa?				
Ess.	emedin	eemee-›eme		
part.	emedid	eemee-›eme		
1b				
HAAMIT				
v-k				
aam-›am				
t-›tt				
Nom. 	haamit		hamitteh	aam-›am tt
Gen.	haamit		hamittij	aam-›am tt
Akk.	haamit		hamittijd	aam-›am tt
Ill.	hamittân	aam-›am tt	hamittáid	aam-›am tt
Lokat.	hamittist	aam-›am tt	hamittijn	aam-›am tt
Kom. 	hamittáin	aam-›am tt	hamittijguin	aam-›am tt
Abess.	haamittáá		hamittijttáá	aam-›am tt
Ess.	hamittin	aam-›am tt		
part.	hamittid	aam-›am tt		
1b				
AARRÂN				
v-g				
aarr-›ar				
Nom. 	aarrân		arâneh	aarr-›ar
Gen.	aarrân		arânij	aarr-›ar
Akk.	aarrân		arânijd	aarr-›ar
Ill.	arânân	aarr-›ar	arânáid	aarr-›ar
Lokat.	arânist	aarr-›ar	arânijn	aarr-›ar
Kom. 	arânáin	aarr-›ar	arânijguin	aarr-›ar
Abess.	aarrânttáá		arânijttáá	aarr-›ar
Ess.	arânin	aarr-›ar		
part.	arânid	aarr-›ar		
1b				
VIETTÂR				
d-g				
tt-›´t				
Nom. 	viettâr		vie´târeh	tt-›´t
Gen.	viettâr		vie´târij	tt-›´t
Akk.	viettâr		vie´târijd	tt-›´t
Ill.	vie´târân	tt-›´t	vie´târáid	tt-›´t
Lokat.	vie´târist	tt-›´t	vie´târijn	tt-›´t
Kom. 	vie´târáin	tt-›´t	vie´târijguin	tt-›´t
Abess.	viettârttáá		vie´târijttáá	tt-›´t
Ess.	vie´târin	tt-›´t		
part.	vie´târid	tt-›´t		
1b				
KIÄRUN				
d-k				
r-´r				
Nom. 	kiärun		kiä´runeh	
Gen.	kiärun		kiä´runij	
Akk.	kiärun		kiä´runijd	
Ill.	kiä´runân		kiä´runáid	
Lokat.	kiä´runist		kiä´runijn	
Kom. 	kiä´runáin		kiä´runijguin	
Abess.	kiärunttáá		kiä´runijttáá	
Ess.	kiä´runin			
part.	kiä´runid			
				
				
1C?	v 2.st i-›ii			
supistumaverbeistæ johdetut nominit?				
HUKSIM				
Nom. 	huksim	huksiimeh	i-›ii	
Gen.	huksim	huksimij		
Akk.	huksim	huksimijd		
Ill.	huksiimân	huksimáid		
Lokat.	huksiimist	huksimijn		
Kom. 	huksiimáin	huksimijguin		
Abess.	huksimttáá	huksimijttáá		
Ess.	huksiimin			
part.	huksiimid			
				
				
poovsâ	poksâm	LOVNÂSÄÄNIH		
puovtâ	puoh´tâm	musikkár		
kaaljâ	kaljâm	hormendar		
čeergâ	čergâm	puhelin		
suogâ	suog´gâm	minister		
čiegâ	čieg´gâm			
kuolbâ	kuolbân			
oođâ	ođđâm			
vye´ne	vuánnám			
seve	siäppát			
savo	savvoon			
vuásku	vuás´kun			
				
ČUÁ´ ĐÁÁD				
Nom. 	čuá´đáád	čuá´đáádeh~čuá´đádeh		
Gen.	čuá´đáád	čuá´đáádij~čuá´đádij		
Akk.	čuá´đáád	čuá´đádijd		
Ill.	čuá´đáádân~čuá´đádân	čuá´đádáid		
Lokat.	čuá´đádist	čuá´đádijn		
Kom. 	čuá´đádáin	čuá´đádijguin		
Abess.	čuáđáádttáá	čuá´đádijttáá		
Ess.	čuá´đáádin			
part.	čuá´đáádid			
				
FIIJNES				
Nom. 	fiijnes	fijnáseh		
Gen.	fijnás	fijnásij		
Akk.	fijnás	fijnásijd		
Ill.	fijnásân	fijnásáid		
Lokat.	fijnásist	fijnásijn		
Kom. 	fijnásáin	fijnásijguin		
Abess.	fijnásttáá	fijnásijttáá		
Ess.	fijnásin			
				
part.	fijnásid			
				
UÁI´ VÁT				
Nom. 	uái´vát	uái´váátteh~uáiváteh		
Gen.	uái´vát	uái´vááttij~uáivátij		
Akk.	uái´vát	uái´vááttijd		
Ill.	uái´vááttân~uáivátân	uáivááttáid		
Lokat.	uái´vááttist	uáivááttijn		
Kom. 	uái´vááttáin	uáivááttijguin		
Abess.	uái´vááttáá	uáivááttijttáá		
Ess.	uái´vááttin			
part.	uái´vááttid			
				
KAAVPUG				
Nom. 	kaavpug	ka´vpugeh		
Gen.	kaavpug	ka´vpugij		
Akk.	kaavpug	ka´vpugijd		
Ill.	kaavpugân~kavpugân	ka´vpugáid		
Lokat.	ka´vpugist	ka´vpugijn		
Kom. 	ka´vpugáin	ka´vpugijguin		
Abess.	ka´vpugttáá	ka´vpugijttáá		
Ess.	ka´vpugin			
part.	ka´vpugid			
				
				
2A				
HÄÄITIS				
v-k-v				
t->tt				
ää->á				
i->á				
ää->ä				
Nom. 	hääitis		háittáseh	ääiti->áittá
Gen.	háittás	ääiti->áittá	háittásij	ääiti->áittá
Akk.	háittás	ääiti->áittá	háittásijd	ääiti->áittá
Ill.	háittásân	ääiti->áittá	háittásáid	ääiti->áittá
Lokat.	háittásist	ääiti->áittá	háittásijn	ääiti->áittá
Kom. 	háittásáin	ääiti->áittá	háittásijguin	ääiti->áittá
Abess.	háittásttáá	ääiti->áittá	háittásijttáá	ääiti->áittá
Ess.	háittásin	ääiti->áittá		
	häitisin	ää->ä		
part.	háittásid	ääiti->áittá		
	häitisin	ää->ä		
				
				
				
				
				
2a				
ČA´ SKES				
v-kk				
?->?				
e->a				
Nom. 	ča´skes		časkaseh	
Gen.	časkas		časkasij	
Akk.	časkas		časkasijd	
Ill.	časkasân		časkasáid	
Lokat.	časkasist		časkasijn	
Kom. 	časkasáin		časkasijguin	
Abess.	časkasttáá		časkasijttáá	
Ess.	časkasin			
	ča´skesin			
part.	časkasid			
	ča´skesid			
2a				
EEBIR				
v-k-v				
b->b´b				
ee->iä				
i->á				
Nom. 	eebir		iäb´báreh	eebi->iäb´bá
Gen.	iäb´bár	eebi->iäb´bá	iäb´bárij	eebi->iäb´bá
Akk.	iäb´bár	eebi->iäb´bá	iäb´bárijd	eebi->iäb´bá
Ill.	iäb´bárân	eebi->iäb´bá	iäb´báráid	eebi->iäb´bá
Lokat.	iäb´bárist	eebi->iäb´bá	iäb´bárijn	eebi->iäb´bá
Kom. 	iäb´báráin	eebi->iäb´bá	iäb´bárijguin	eebi->iäb´bá
Abess.	iäb´bárttáá	eebi->iäb´bá	iäb´bárijttáá	eebi->iäb´bá
Ess.	iäb´bárin	eebi->iäb´bá		
	ebirin			
part.	iäb´bárid	eebi->iäb´bá		
	ebirid			
2a				
KIÄRGUS				
d-kk				
rg->r´g				
Nom. 	kiärgus		kiär´guseh	rg->r´g
Gen.	kiär´gus	rg->r´g	kiär´gusij	rg->r´g
Akk.	kiär´gus	rg->r´g	kiär´gusijd	rg->r´g
Ill.	kiär´gusân	rg->r´g	kiär´gusáid	rg->r´g
Lokat.	kiär´gusist	rg->r´g	kiär´gusijn	rg->r´g
Kom. 	kiär´gusáin	rg->r´g	kiär´gusijguin	rg->r´g
Abess.	kiär´gusttáá	rg->r´g	kiär´gusijttáá	rg->r´g
Ess.	kiär´gusin	rg->r´g		
	kiärgusin			
part.	kiär´gusid	rg->r´g		
	kiärgusid			
				
2a				
KUÁLUS				
d-k				
l->l´l				
Nom. 	kuálus		kuál´luseh	l->l´l
Gen.	kuál´lus	l->l´l	kuál´lusij	l->l´l
Akk.	kuál´lus	l->l´l	kuál´lusijd	l->l´l
Ill.	kuál´lusân	l->l´l	kuál´lusáid	l->l´l
Lokat.	kuál´lusist	l->l´l	kuál´lusijn	l->l´l
Kom. 	kuál´lusáin	l->l´l	kuál´lusijguin	l->l´l
Abess.	kuál´lusttáá	l->l´l	kuál´lusijttáá	l->l´l
Ess.	kuál´lusin	l->l´l		
	kuálusin			
part.	kuál´lusid	l->l´l		
	kuálusid			
2a				
ČIEPÅS				
d-k				
p->p´p				
Nom. 	Čiepås		čiep´påseh	p->p´p
Gen.	Čiep´pås	p->p´p	čiep´påsij	p->p´p
Akk.	Čiep´pås	p->p´p	čiep´pásijd	p->p´p
Ill.	Čiep´påsån	p->p´p	čiep´påsáid	p->p´p
Lokat.	Čiep´påsist	p->p´p	čiep´påsijn	p->p´p
Kom. 	Čiep´påsáin 	p->p´p	čiep´påsijguin	p->p´p
Abess.	Čiep´påsttáá	p->p´p	čiep´påsijttáá	p->p´p
Ess.	Čie´påsin			
	čiep´påsin			
part.	Čie´påsid			
	čiep´påsid			
2a				
VEESKIR				
v-kk				
sk-›s´k				
ee-›iä				
(ee-›e´)				
eeski-›iäs´ká				
Nom. 	veeskir		viäs´káreh	eeski-›iäs´ká
Gen.	viäs´kár	eeski-›iäs´ká	viäs´kárij	eeski-›iäs´ká
Akk.	viäs´kár	eeski-›iäs´ká	viäs´kárijd	eeski-›iäs´ká
Ill.	viäs´kárân	eeski-›iäs´ká	viäs´káráid	eeski-›iäs´ká
Lokat.	viäs´kárist	eeski-›iäs´ká	viäs´kárijn	eeski-›iäs´ká
Kom. 	viäs´káráin	eeski-›iäs´ká	viäs´kárijguin	eeski-›iäs´ká
Abess.	viäs´kárttáá	eeski-›iäs´ká	viäs´kárijttáá	eeski-›iäs´ká
Ess.	viäs´kárin	eeski-›iäs´ká		
	ve´skirin	(ee-›e´)		
part.	viäs´kárid	eeski-›iäs´ká		
	ve´skirid	(ee-›e´)		
2a				
KÄÄVIR				
v-k				
v->h				
ää->ä				
Nom. 	käävir		kähireh	v->h, ää->ä
Gen.	käähir	v->h	kähirij	v->h, ää->ä
Akk.	käähir	v->h	kähirijd	v->h, ää->ä
Ill.	kähirân	v->h, ää->ä	kähiráid	v->h, ää->ä
Lokat.	kähirist	v->h, ää->ä	kähirijn	v->h, ää->ä
Kom. 	kähirain	v->h, ää->ä	kähirijguin	v->h, ää->ä
Abess.	käähirttáá	v->h	kähirijttáá	v->h, ää->ä
Ess.	kähirin	v->h, ää->ä		
	kävirin	ää->ä		
part.	kähirid	v->h, ää->ä		
	kävirid	ää->ä		
				
				
2B				
HÄÄNIS				
v-k-v				
n->nn				
ää->áá				
ää->á				
i->á				
				
Nom. 	häänis		hánáseh	ääni->áná
Gen.	háánnás	ääni->áánná	hánásij	ääni->áná
Akk.	háánnás	ääni->áánná	hánásijd	ääni->áná
Ill.	hánásân	ääni->áná	hánásáid	ääni->áná
Lokat.	hánásist	ääni->áná	hánásijn	ääni->áná
Kom. 	hánásáin	ääni->áná	hánásijguin	ääni->áná
Abess.	hánásttáá vâi háánnásttáá		hánásijttáá	ääni->áná
