							
							
N+Sg+Ill	čälimân		Ill.	čälimân	ääll-›äl	čälimáid	ääll-›äl
N+Sg+Loc	čälimist		Lokat.	čälimist	ääll-›äl	čälimijn	ääll-›äl
N+Sg+Com	čälimáin		Kom. 	čälimáin	ääll-›äl	čälimijguin	ääll-›äl
N+Sg+Abe	čäällimttáá		Abess.	čäällimttáá		čälimijttáá	ääll-›äl
N+Ess	čälimin		Ess.	čälimin	ääll-›äl		
N+Par	čälimid		part.	čälimid	ääll-›äl		
N+Pl+Nom	čälimeh						
N+Pl+Gen	čälimij						
N+Pl+Acc	čälimijd						
N+Pl+Ill	čälimáid						
N+Pl+Loc	čälimijn						
N+Pl+Com	čälimijguin						
N+Pl+Abe	čälimijttáá						
							
							
							
							
			1b				
			ČIERMIH				
			d-kk				
Noun - čiermih:	# 1B d-kk,  rm-´rm		rm-´rm				
N+Sg+Nom	čiermih		Nom. 	čiermih		čie´rmiheh	
N+Sg+Gen	čiermih		Gen.	čiermih		čie´rmihij	
N+Sg+Acc	čiermih		Akk.	čiermih		čie´rmihijd	
N+Sg+Ill	čie´rmihân		Ill.	čie´rmihân		čie´rmiháid	
N+Sg+Loc	čie´rmihist		Lokat.	čie´rmihist		čie´rmihijn	
N+Sg+Com	čie´rmiháin		Kom. 	čie´rmiháin		čie´rmihijguin	
N+Sg+Abe	čiermihttáá		Abess.	čiermihttáá		čie´rmihijttáá	
N+Ess	čie´rmihin		Ess.	čie´rmihin			
N+Par	čie´rmihid		part.	čie´rmihid			
N+Pl+Nom	čie´rmiheh						
N+Pl+Gen	čie´rmihij						
N+Pl+Acc	čie´rmihijd						
N+Pl+Ill	čie´rmiháid						
N+Pl+Loc	čie´rmihijn						
N+Pl+Com	čie´rmihijguin						
N+Pl+Abe	čie´rmihijttáá						
							
							
							
			1b				
			RUÁVÁST				
			d-k				
Noun - ruávást:	# 1B d-k,  v-´v		v-´v				
N+Sg+Nom	ruávást		Nom. 	ruávást		ruá´vásteh	
N+Sg+Gen	ruávást		Gen.	ruávást		ruá´vástij	
N+Sg+Acc	ruávást		Akk.	ruávást		ruá´vástijd	
N+Sg+Ill	ruá´vástân		Ill.	ruá´vástân		ruá´vástáid	
N+Sg+Loc	ruá´vástist		Lokat.	ruá´vástist		ruá´vástijn	
N+Sg+Com	ruá´vástáin		Kom. 	ruá´vástáin		ruá´vástijguin	
N+Sg+Abe	ruávásttáá		Abess.	ruávásttáá		ruá´vástijttáá	
N+Ess	ruá´vástin		Ess.	ruá´vástin			
N+Par	ruá´vástid		part.	ruá´vástid			
N+Pl+Nom	ruá´vásteh						
N+Pl+Gen	ruá´vástij						
N+Pl+Acc	ruá´vástijd						
N+Pl+Ill	ruá´vástáid						
N+Pl+Loc	ruá´vástijn						
N+Pl+Com	ruá´vástijguin						
N+Pl+Abe	ruá´vástijttáá						
							
							
							
			1B				
			1b				
			KAHHAAN				
			g-v				
Noun - kahhaan:	# 1B g-v, CCVV-›CV		hhaa-›ha				
N+Sg+Nom	kahhaan		Nom. 	kahhaan		kahaneh	hhaa-›ha
N+Sg+Gen	kahhaan		Gen.	kahhaan		kahanij	hhaa-›ha
N+Sg+Acc	kahhaan		Akk.	kahhaan		kahanijd	hhaa-›ha
N+Sg+Ill	kahhanân		Ill.	kahanân	hhaa-›ha	kahanáid	hhaa-›ha
N+Sg+Loc	kahanist		Lokat.	kahanist	hhaa-›ha	kahanijn	hhaa-›ha
N+Sg+Com	kahanáid		Kom. 	kahanáid	hhaa-›ha	kahanijguin	hhaa-›ha
N+Sg+Abe	kahhaanttáá		Abess.	kahhaanttáá		kahanijttáá	hhaa-›ha
N+Ess	kahanin		Ess.	kahanin	hhaa-›ha		
N+Par	kahanid		part.	kahanid	hhaa-›ha		
N+Pl+Nom	kahaneh						
N+Pl+Gen	kahanij						
N+Pl+Acc	kahanijd						
N+Pl+Ill	kahanáid						
N+Pl+Loc	kahanijn						
N+Pl+Com	kahanijguin						
N+Pl+Abe	kahanijttáá						
							
							
							
							
			1b				
			EEMEED				
			v-k-v				
Noun - eemeed:	# 1B v-k-v, VVCVV > VCV		eemee-›eme				
N+Sg+Nom	eemeed		Nom. 	eemeed		emedeh	eemee-›eme
N+Sg+Gen	eemeed		Gen.	eemeed		emedij	eemee-›eme
N+Sg+Acc	eemeed		Akk.	eemeed		emedijd	eemee-›eme
N+Sg+Ill	emedân		Ill.	emedân	eemee-›eme	emedáid	eemee-›eme
N+Sg+Loc	emedist		Lokat.	emedist	eemee-›eme	emedijn	eemee-›eme
N+Sg+Com	emedáin		Kom. 	emedáin	eemee-›eme	emedijguin	eemee-›eme
N+Sg+Abe	eemeedttáá		Abess.	eemeedttáá		emedijttáá	eemee-›eme
N+Ess	emedin		Ess.	emedin	eemee-›eme		
N+Par	emedid		part.	emedid	eemee-›eme		
N+Pl+Nom	emedeh		1b				
N+Pl+Gen	emedij						
N+Pl+Acc	emedijd						
N+Pl+Ill	emedáid						
N+Pl+Loc	emedijn						
N+Pl+Com	emedijguin						
N+Pl+Abe	emedijttáá						
							
							
							
							
			HAAMIT				
			v-k				
			aam-›am				
Noun - haamit:	# 1B v-k, VVC > VC, t-›tt 		t-›tt				
N+Sg+Nom	haamit		Nom. 	haamit		hamitteh	aam-›am tt
N+Sg+Gen	haamit		Gen.	haamit		hamittij	aam-›am tt
N+Sg+Acc	haamit		Akk.	haamit		hamittijd	aam-›am tt
N+Sg+Ill	hamittân		Ill.	hamittân	aam-›am tt	hamittáid	aam-›am tt
N+Sg+Loc	hamittist		Lokat.	hamittist	aam-›am tt	hamittijn	aam-›am tt
N+Sg+Com	hamittáin		Kom. 	hamittáin	aam-›am tt	hamittijguin	aam-›am tt
N+Sg+Abe	haamittáá	# Kyehti t!	Abess.	haamittáá		hamittijttáá	aam-›am tt
N+Ess	hamittin		Ess.	hamittin	aam-›am tt		
N+Par	hamittid		part.	hamittid	aam-›am tt		
N+Pl+Nom	hamitteh		1b				
N+Pl+Gen	hamittij						
N+Pl+Acc	hamittijd						
N+Pl+Ill	hamittáid						
N+Pl+Loc	hamittijn						
N+Pl+Com	hamittijguin						
N+Pl+Abe	hamittijttáá						
							
							
	# Ohtân juávkkun kluusiilloppâsâš säänih						
							
			AARRÂN				
			v-g				
Noun - aarrân:	# 1B v-g, VVCC > VC, C > C1		aarr-›ar				
N+Sg+Nom	aarrân		Nom. 	aarrân		arâneh	aarr-›ar
N+Sg+Gen	aarrân		Gen.	aarrân		arânij	aarr-›ar
N+Sg+Acc	aarrân		Akk.	aarrân		arânijd	aarr-›ar
N+Sg+Ill	arânân		Ill.	arânân	aarr-›ar	arânáid	aarr-›ar
N+Sg+Loc	arânist		Lokat.	arânist	aarr-›ar	arânijn	aarr-›ar
N+Sg+Com	arânáin		Kom. 	arânáin	aarr-›ar	arânijguin	aarr-›ar
N+Sg+Abe	aarrânttáá		Abess.	aarrânttáá		arânijttáá	aarr-›ar
N+Ess	arânin		Ess.	arânin	aarr-›ar		
N+Par	arânid		part.	arânid	aarr-›ar		
N+Pl+Nom	arâneh		1b				
N+Pl+Gen	arânij						
N+Pl+Acc	arânijd						
N+Pl+Ill	arânáid						
N+Pl+Loc	arânijn						
N+Pl+Com	arânijguin						
N+Pl+Abe	arânijttáá						
							
							
							
							
			VIETTÂR				
			d-g				
Noun - viettâr:	# 1B d-g, 		tt-›´t				
N+Sg+Nom	viettâr		Nom. 	viettâr		vie´târeh	tt-›´t
N+Sg+Gen	viettâr		Gen.	viettâr		vie´târij	tt-›´t
N+Sg+Acc	viettâr		Akk.	viettâr		vie´târijd	tt-›´t
N+Sg+Ill	vie´târân		Ill.	vie´târân	tt-›´t	vie´târáid	tt-›´t
N+Sg+Loc	vie´târist		Lokat.	vie´târist	tt-›´t	vie´târijn	tt-›´t
N+Sg+Com	vie´târáin		Kom. 	vie´târáin	tt-›´t	vie´târijguin	tt-›´t
N+Sg+Abe	viettârttáá		Abess.	viettârttáá		vie´târijttáá	tt-›´t
N+Ess	vie´târin		Ess.	vie´târin	tt-›´t		
N+Par	vie´târid		part.	vie´târid	tt-›´t		
N+Pl+Nom	vie´târeh		1b				
N+Pl+Gen	vie´târij						
N+Pl+Acc	vie´târijd						
N+Pl+Ill	vie´târáid						
N+Pl+Loc	vie´târijn						
N+Pl+Com	vie´târijguin						
N+Pl+Abe	vie´târijttáá						
							
							
							
			KIÄRUN				
			d-k				
Noun - kiärun:	# 1B d-k, r-´r		r-´r				
N+Sg+Nom	kiärun		Nom. 	kiärun		kiä´runeh	
N+Sg+Gen	kiärun		Gen.	kiärun		kiä´runij	
N+Sg+Acc	kiärun		Akk.	kiärun		kiä´runijd	
N+Sg+Ill	kiä´runân		Ill.	kiä´runân		kiä´runáid	
N+Sg+Loc	kiä´runist		Lokat.	kiä´runist		kiä´runijn	
N+Sg+Com	kiä´runáin		Kom. 	kiä´runáin		kiä´runijguin	
N+Sg+Abe	kiärunttáá		Abess.	kiärunttáá		kiä´runijttáá	
N+Ess	kiä´runin		Ess.	kiä´runin			
N+Par	kiä´runid		part.	kiä´runid			
N+Pl+Nom	kiä´runeh						
N+Pl+Gen	kiä´runij						
N+Pl+Acc	kiä´runijd						
N+Pl+Ill	kiä´runáid						
N+Pl+Loc	kiä´runijn						
N+Pl+Com	kiä´runijguin						
N+Pl+Abe	kiä´runijttáá						
							
							
			1b				
			IMMEEL				
			g-v				
Noun - immeel:	# 1B g-v, CCVV > CV		mmee-›me				
N+Sg+Nom	immeel		Nom. 	immeel		imeleh	mmee-›me
N+Sg+Gen	immeel		Gen.	immeel		imelij	mmee-›me
N+Sg+Acc	immeel		Akk.	immeel		imelijd	mmee-›me
N+Sg+Ill	imelân		Ill.	imelân	mmee-›me	imeláid	mmee-›me
N+Sg+Loc	imelist		Lokat.	imelist	mmee-›me	imeláin	mmee-›me
N+Sg+Com	imeláin		Kom. 	imeláin	mmee-›me	imelijguin	mmee-›me
N+Sg+Abe	immeelttáá		Abess.	immeelttáá		imelijttáá	mmee-›me
N+Ess	imelin		Ess.	imelin	mmee-›me		
N+Par	imelid		part.	imelid	mmee-›me		
N+Pl+Nom	imeleh						
N+Pl+Gen	imelij						
N+Pl+Acc	imelijd						
N+Pl+Ill	imeláid						
N+Pl+Loc	imeláin						
N+Pl+Com	imelijguin						
N+Pl+Abe	imelijttáá						
							
							
							
							
							
							
							
							
			1C?	v 2.st i-›ii			
			supistumaverbeistæ johdetut nominit?				
Noun - huksim:	# 1C 2.st V > VV		HUKSIM				
N+Sg+Nom	huksim		Nom. 	huksim	huksiimeh	i-›ii	
N+Sg+Gen	huksim		Gen.	huksim	huksimij		
N+Sg+Acc	huksim		Akk.	huksim	huksimijd		
N+Sg+Ill	huksiimân		Ill.	huksiimân	huksimáid		
N+Sg+Loc	huksiimist		Lokat.	huksiimist	huksimijn		
N+Sg+Com	huksiimáin		Kom. 	huksiimáin	huksimijguin		
N+Sg+Abe	huksimttáá		Abess.	huksimttáá	huksimijttáá		
N+Ess	huksiimin		Ess.	huksiimin			
N+Par	huksiimid		part.	huksiimid			
N+Pl+Nom	huksiimeh						
N+Pl+Gen	huksimij						
N+Pl+Acc	huksimijd						
N+Pl+Ill	huksimáid						
N+Pl+Loc	huksimijn						
N+Pl+Com	huksimijguin						
N+Pl+Abe	huksimijttáá						
							
							
							
							
			poovsâ	poksâm	LOVNÂSÄÄNIH		
			puovtâ	puoh´tâm	musikkár		
			kaaljâ	kaljâm	hormendar		
			čeergâ	čergâm	puhelin		
			suogâ	suog´gâm	minister		
			čiegâ	čieg´gâm			
			kuolbâ	kuolbân			
			oođâ	ođđâm			
			vye´ne	vuánnám			
			seve	siäppát			
			savo	savvoon			
			vuásku	vuás´kun			
							
Noun - čuá´đáád:	# 		ČUÁ´ ĐÁÁD				
N+Sg+Nom	čuáđáád		Nom. 	čuá´đáád	čuá´đáádeh~čuá´đádeh		
N+Sg+Gen	čuáđáád		Gen.	čuá´đáád	čuá´đáádij~čuá´đádij		
N+Sg+Acc	čuáđáád		Akk.	čuá´đáád	čuá´đádijd		
N+Sg+Ill	čuá´đádân		Ill.	čuá´đáádân~čuá´đádân	čuá´đádáid		
N+Sg+Loc	čuá´đádist		Lokat.	čuá´đádist	čuá´đádijn		
N+Sg+Com	čuá´đádáin		Kom. 	čuá´đádáin	čuá´đádijguin		
N+Sg+Abe	čuáđáádttáá		Abess.	čuáđáádttáá	čuá´đádijttáá		
N+Ess	čuá´đádin		Ess.	čuá´đáádin			
N+Par	čuá´đádid		part.	čuá´đáádid			
N+Pl+Nom	čuá'đádeh						
N+Pl+Gen	čuá'đádij						
N+Pl+Acc	čuá´đádijd						
N+Pl+Ill	čuá´đádáid						
N+Pl+Loc	čuá´đádijn						
N+Pl+Com	čuá´đádijguin						
N+Pl+Abe	čuá´đádijttáá						
							
							
							
Noun - fiijnes:	# Useimmilla puhujilla supistuma, joillakin puhujilla 3-tavuinen.		FIIJNES				
N+Sg+Nom	fiijnes		Nom. 	fiijnes	fijnáseh		
N+Sg+Gen	[fijná, fijnás]		Gen.	fijnás	fijnásij		
N+Sg+Acc	[fijná, fijnás]		Akk.	fijnás	fijnásijd		
N+Sg+Ill	[fijnás, fijnásân]		Ill.	fijnásân	fijnásáid		
N+Sg+Loc	[fijnást, fijnásist]		Lokat.	fijnásist	fijnásijn		
N+Sg+Com	[fijnáin, fijnásáin]		Kom. 	fijnásáin	fijnásijguin		
N+Sg+Abe	[fijnáttáá, fijnásttáá]		Abess.	fijnásttáá	fijnásijttáá		
N+Ess	[fijnesin, fijnásin]		Ess.	fijnásin			
N+Par	[fijnesid, fijnásid]						
N+Pl+Nom	[fijnáh, fijnáseh]		part.	fijnásid			
N+Pl+Gen	[fijnái, fijnásij]						
N+Pl+Acc	[fijnáid, fijnásijd]						
N+Pl+Ill	[fijnásáid, fijnásáid]						
N+Pl+Loc	[fijnáin, fijnásijn]						
N+Pl+Com	[fijnáiguin, fijnásijguin]						
N+Pl+Abe	[fijnáittáá, fijnásijttáá]						
	# Supistuma priorisoidaan, annetaan oikeaksi normatiivisesti.						
							
							
							
Noun - uái´vát:	# Ohtâ sane, kyehti lemma. Páágut teknisávt täid oohtân. 		UÁI´ VÁT				
N+Sg+Nom	[uái'vát, uáivát]		Nom. 	uái´vát	uái´váátteh~uáiváteh		
N+Sg+Gen	[uái'vát, uái'váát]		Gen.	uái´vát	uái´vááttij~uáivátij		
N+Sg+Acc	[uái'vát, uái'váát]		Akk.	uái´vát	uái´vááttijd		
N+Sg+Ill	[uái´vátân, uái'váátân]		Ill.	uái´vááttân~uáivátân	uáivááttáid		
N+Sg+Loc	[uái´vátist, uái´vááttist]	E	Lokat.	uái´vááttist	uáivááttijn		
N+Sg+Com	[uái´vátáin, uái'vááttáin]		Kom. 	uái´vááttáin	uáivááttijguin		
N+Sg+Abe	[uái´váttáá, uái'vááttáá]		Abess.	uái´vááttáá	uáivááttijttáá		
N+Ess	[uái´váttin, uái'vááttin]		Ess.	uái´vááttin			
N+Par	[uái´váttid, uái'vááttid]		part.	uái´vááttid			
N+Pl+Nom	[uái´váteh, uái'váátteh]						
N+Pl+Gen	[uái´vátij, uái'vááttij]						
N+Pl+Acc	[uái´vátijd, uái'vááttijd]						
N+Pl+Ill	[uái'vátáid, uái'vááttáid]						
N+Pl+Loc	[uái'vátijn, uái'vááttijn]						
N+Pl+Com	[uái'vátijguin, uái'vááttijguin]						
N+Pl+Abe	[uái'vátijttáá, uái'vááttijttáá]						
							
	# Härvinâš sääni. Sujâttem oro keevâtlávt monâmin siähálâs. 						
	# Käänteissanakirja: uái'vát: lok. uái'vááttist						
							
							
Noun - kaavpug:	# 		KAAVPUG				
N+Sg+Nom	kaavpug		Nom. 	kaavpug	ka´vpugeh		
