	vuáru	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 vuáru    			
2	Sg+Gen	 vuáru    	 vuáro    		
3	Sg+Acc	 vuáru    	 vuáro    		
4	Sg+Ill	 vuárun    			
5	Sg+Loc	 vuárust    	 vuároost    		
6	Sg+Com	 vuároin    	 vuárooin    		
7	Sg+Abe	 vuáruttáá    	 vuárottáá    		
8	Ess	 vuárrun    			
9	Par	 vuárrud    			
10	Pl+Nom	 vuáruh    	 vuároh    		
11	Pl+Gen	 vuárui    	 vuároi    		
12	Pl+Acc	 vuáruid    	 vuároid    		
13	Pl+Ill	 vuárooid    	 vuároid    		
14	Pl+Loc	 vuáruin    	 vuároin    		
15	Pl+Com	 vuáruiguin    	 vuáruigijn    	 vuároiguin    	 vuároigijn    
16	Pl+Abe	 vuáruittáá    	 vuároittáá    		
	hiävu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 hiävu    			
2	Sg+Gen	 hiävu    	 hiävo    		
3	Sg+Acc	 hiävu    	 hiävo    		
4	Sg+Ill	 hiävun    			
5	Sg+Loc	 hiävust    	 hiävoost    		
6	Sg+Com	 hiävoin    	 hiävooin    		
7	Sg+Abe	 hiävuttáá    	 hiävottáá    		
8	Ess	 hiävvun    			
9	Par	 hiävvud    			
10	Pl+Nom	 hiävuh    	 hiävoh    		
11	Pl+Gen	 hiävui    	 hiävoi    		
12	Pl+Acc	 hiävuid    	 hiävoid    		
13	Pl+Ill	 hiävooid    	 hiävoid    		
14	Pl+Loc	 hiävuin    	 hiävoin    		
15	Pl+Com	 hiävuiguin    	 hiävuigijn    	 hiävoiguin    	 hiävoigijn    
16	Pl+Abe	 hiävuittáá    	 hiävoittáá    		
	iälu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 iälu    			
2	Sg+Gen	 iälu    	 iälo    		
3	Sg+Acc	 iälu    	 iälo    		
4	Sg+Ill	 iälun    			
5	Sg+Loc	 iälust    	 iäloost    		
6	Sg+Com	 iäloin    	 iälooin    		
7	Sg+Abe	 iäluttáá    	 iälottáá    		
8	Ess	 iällun    			
9	Par	 iällud    			
10	Pl+Nom	 iäluh    	 iäloh    		
11	Pl+Gen	 iälui    	 iäloi    		
12	Pl+Acc	 iäluid    	 iäloid    		
13	Pl+Ill	 iälooid    	 iäloid    		
14	Pl+Loc	 iäluin    	 iäloin    		
15	Pl+Com	 iäluiguin    	 iäluigijn    	 iäloiguin    	 iäloigijn    
16	Pl+Abe	 iäluittáá    	 iäloittáá    		
	iäru	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 iäru    			
2	Sg+Gen	 iäru    	 iäro    		
3	Sg+Acc	 iäru    	 iäro    		
4	Sg+Ill	 iärun    			
5	Sg+Loc	 iärust    	 iäroost    		
6	Sg+Com	 iäroin    	 iärooin    		
7	Sg+Abe	 iäruttáá    	 iärottáá    		
8	Ess	 iärrun    			
9	Par	 iärrud    			
10	Pl+Nom	 iäruh    	 iäroh    		
11	Pl+Gen	 iärui    	 iäroi    		
12	Pl+Acc	 iäruid    	 iäroid    		
13	Pl+Ill	 iärooid    	 iäroid    		
14	Pl+Loc	 iäruin    	 iäroin    		
15	Pl+Com	 iäruiguin    	 iäruigijn    	 iäroiguin    	 iäroigijn    
16	Pl+Abe	 iäruittáá    	 iäroittáá    		
	kiäju	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 kiäju    			
2	Sg+Gen	 kiäjo    	 kiäju    		
3	Sg+Acc	 kiäjo    	 kiäju    		
4	Sg+Ill	 kiäjun    			
5	Sg+Loc	 kiäjoost    	 kiäjust    		
6	Sg+Com	 kiäjoin    	 kiäjooin    		
7	Sg+Abe	 kiäjottáá    	 kiäjuttáá    		
8	Ess	 kiäjun    			
9	Par	 kiäjud    			
10	Pl+Nom	 kiäjoh    	 kiäjuh    		
11	Pl+Gen	 kiäjoi    	 kiäjui    		
12	Pl+Acc	 kiäjoid    	 kiäjuid    		
13	Pl+Ill	 kiäjooid    	 kiäjoid    		
14	Pl+Loc	 kiäjoin    	 kiäjuin    		
15	Pl+Com	 kiäjoiguin    	 kiäjoigijn    	 kiäjuiguin    	 kiäjuigijn    
16	Pl+Abe	 kiäjoittáá    	 kiäjuittáá    		
	miänu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 miänu    			
2	Sg+Gen	 miänu    	 miäno    		
3	Sg+Acc	 miänu    	 miäno    		
4	Sg+Ill	 miänun    			
5	Sg+Loc	 miänust    	 miänoost    		
6	Sg+Com	 miänoin    	 miänooin    		
7	Sg+Abe	 miänuttáá    	 miänottáá    		
8	Ess	 miänun    			
9	Par	 miänud    			
10	Pl+Nom	 miänuh    	 miänoh    		
11	Pl+Gen	 miänui    	 miänoi    		
12	Pl+Acc	 miänuid    	 miänoid    		
13	Pl+Ill	 miänooid    	 miänoid    		
14	Pl+Loc	 miänuin    	 miänoin    		
15	Pl+Com	 miänuiguin    	 miänuigijn    	 miänoiguin    	 miänoigijn    
16	Pl+Abe	 miänuittáá    	 miänoittáá    		
	njiälu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 njiälu    			
2	Sg+Gen	 njiälu    	 njiälo    		
3	Sg+Acc	 njiälu    	 njiälo    		
4	Sg+Ill	 njiälun    			
5	Sg+Loc	 njiälust    	 njiäloost    		
6	Sg+Com	 njiäloin    	 njiälooin    		
7	Sg+Abe	 njiäluttáá    	 njiälottáá    		
8	Ess	 njiällun    			
9	Par	 njiällud    			
10	Pl+Nom	 njiäluh    	 njiäloh    		
11	Pl+Gen	 njiälui    	 njiäloi    		
12	Pl+Acc	 njiäluid    	 njiäloid    		
13	Pl+Ill	 njiälooid    	 njiäloid    		
14	Pl+Loc	 njiäluin    	 njiäloin    		
15	Pl+Com	 njiäluiguin    	 njiäluigijn    	 njiäloiguin    	 njiäloigijn    
16	Pl+Abe	 njiäluittáá    	 njiäloittáá    		
	piäju	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 piäju    			
2	Sg+Gen	 piäju    	 piäjo    		
3	Sg+Acc	 piäju    	 piäjo    		
4	Sg+Ill	 piäjun    			
5	Sg+Loc	 piäjust    	 piäjoost    		
6	Sg+Com	 piäjoin    	 piäjooin    		
7	Sg+Abe	 piäjuttáá    	 piäjottáá    		
8	Ess	 piäjun    			
9	Par	 piäjud    			
10	Pl+Nom	 piäjuh    	 piäjoh    		
11	Pl+Gen	 piäjui    	 piäjoi    		
12	Pl+Acc	 piäjuid    	 piäjoid    		
13	Pl+Ill	 piäjooid    	 piäjoid    		
14	Pl+Loc	 piäjuin    	 piäjoin    		
15	Pl+Com	 piäjuiguin    	 piäjuigijn    	 piäjoiguin    	 piäjoigijn    
16	Pl+Abe	 piäjuittáá    	 piäjoittáá    		
	siälu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 siälu    			
2	Sg+Gen	 siälu    	 siälo    		
3	Sg+Acc	 siälu    	 siälo    		
4	Sg+Ill	 siälun    			
5	Sg+Loc	 siälust    	 siäloost    		
6	Sg+Com	 siäloin    	 siälooin    		
7	Sg+Abe	 siäluttáá    	 siälottáá    		
8	Ess	 siällun    			
9	Par	 siällud    			
10	Pl+Nom	 siäluh    	 siäloh    		
11	Pl+Gen	 siälui    	 siäloi    		
12	Pl+Acc	 siäluid    	 siäloid    		
13	Pl+Ill	 siälooid    	 siäloid    		
14	Pl+Loc	 siäluin    	 siäloin    		
15	Pl+Com	 siäluiguin    	 siäluigijn    	 siäloiguin    	 siäloigijn    
16	Pl+Abe	 siäluittáá    	 siäloittáá    		
	šliämu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 šliämu    			
2	Sg+Gen	 šliämu    	 šliämo    		
3	Sg+Acc	 šliämu    	 šliämo    		
4	Sg+Ill	 šliämun    			
5	Sg+Loc	 šliämust    	 šliämoost    		
6	Sg+Com	 šliämoin    	 šliämooin    		
7	Sg+Abe	 šliämuttáá    	 šliämottáá    		
8	Ess	 šliämmun    			
9	Par	 šliämmud    			
10	Pl+Nom	 šliämuh    	 šliämoh    		
11	Pl+Gen	 šliämui    	 šliämoi    		
12	Pl+Acc	 šliämuid    	 šliämoid    		
13	Pl+Ill	 šliämooid    	 šliämoid    		
14	Pl+Loc	 šliämuin    	 šliämoin    		
15	Pl+Com	 šliämuiguin    	 šliämuigijn    	 šliämoiguin    	 šliämoigijn    
16	Pl+Abe	 šliämuittáá    	 šliämoittáá    		
	viäru	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 viäru    			
2	Sg+Gen	 viäru    	 viäro    		
3	Sg+Acc	 viäru    	 viäro    		
4	Sg+Ill	 viärun    			
5	Sg+Loc	 viärust    	 viäroost    		
6	Sg+Com	 viäroin    	 viärooin    		
7	Sg+Abe	 viäruttáá    	 viärottáá    		
8	Ess	 viärrun    			
9	Par	 viärrud    			
10	Pl+Nom	 viäruh    	 viäroh    		
11	Pl+Gen	 viärui    	 viäroi    		
12	Pl+Acc	 viäruid    	 viäroid    		
13	Pl+Ill	 viärooid    	 viäroid    		
14	Pl+Loc	 viäruin    	 viäroin    		
15	Pl+Com	 viäruiguin    	 viäruigijn    	 viäroiguin    	 viäroigijn    
16	Pl+Abe	 viäruittáá    	 viäroittáá    		
	luámu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 luámu    			
2	Sg+Gen	 luámu    	 luámo    		
3	Sg+Acc	 luámu    	 luámo    		
4	Sg+Ill	 luámun    			
5	Sg+Loc	 luámust    	 luámoost    		
6	Sg+Com	 luámoin    	 luámooin    		
7	Sg+Abe	 luámuttáá    	 luámottáá    		
8	Ess	 luámmun    			
9	Par	 luámmud    			
10	Pl+Nom	 luámuh    	 luámoh    		
11	Pl+Gen	 luámui    	 luámoi    		
12	Pl+Acc	 luámuid    	 luámoid    		
13	Pl+Ill	 luámooid    	 luámoid    		
14	Pl+Loc	 luámuin    	 luámoin    		
15	Pl+Com	 luámuiguin    	 luámuigijn    	 luámoiguin    	 luámoigijn    
16	Pl+Abe	 luámuittáá    	 luámoittáá    		
	muálu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 muálu    			
2	Sg+Gen	 muálo    	 muálu    		
3	Sg+Acc	 muálo    	 muálu    		
4	Sg+Ill	 muálun    			
5	Sg+Loc	 muáloost    	 muálust    		
6	Sg+Com	 muáloin    	 muálooin    		
7	Sg+Abe	 muálottáá    	 muáluttáá    		
8	Ess	 muállun    			
9	Par	 muállud    			
10	Pl+Nom	 muáloh    	 muáluh    		
11	Pl+Gen	 muáloi    	 muálui    		
12	Pl+Acc	 muáloid    	 muáluid    		
13	Pl+Ill	 muálooid    	 muáloid    		
14	Pl+Loc	 muáloin    	 muáluin    		
15	Pl+Com	 muáloiguin    	 muáloigijn    	 muáluiguin    	 muáluigijn    
