	viäsu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 viäsu    			
2	Sg+Gen	 viäsu    	 viäso    		
3	Sg+Acc	 viäsu    	 viäso    		
4	Sg+Ill	 viäsun    			
5	Sg+Loc	 viäsust    	 viäsoost    		
6	Sg+Com	 viäsoin    	 viäsooin    		
7	Sg+Abe	 viäsuttáá    	 viäsottáá    		
8	Ess	 viässun    			
9	Par	 viässud    			
10	Pl+Nom	 viäsuh    	 viäsoh    		
11	Pl+Gen	 viäsui    	 viäsoi    		
12	Pl+Acc	 viäsuid    	 viäsoid    		
13	Pl+Ill	 viäsooid    	 viäsoid    		
14	Pl+Loc	 viäsuin    	 viäsoin    		
15	Pl+Com	 viäsuiguin    	 viäsuigijn    	 viäsoiguin    	 viäsoigijn    
16	Pl+Abe	 viäsuittáá    	 viäsoittáá    		
	hiätu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 hiätu    			
2	Sg+Gen	 hiäđo    	 hiäđu    		
3	Sg+Acc	 hiäđo    	 hiäđu    		
4	Sg+Ill	 hiätun    			
5	Sg+Loc	 hiäđoost    	 hiäđust    		
6	Sg+Com	 hiäđoin    	 hiäđooin    		
7	Sg+Abe	 hiäđottáá    	 hiäđuttáá    		
8	Ess	 hiättun    			
9	Par	 hiättud    			
10	Pl+Nom	 hiäđoh    	 hiäđuh    		
11	Pl+Gen	 hiäđoi    	 hiäđui    		
12	Pl+Acc	 hiäđoid    	 hiäđuid    		
13	Pl+Ill	 hiäđooid    	 hiäđoid    		
14	Pl+Loc	 hiäđoin    	 hiäđuin    		
15	Pl+Com	 hiäđoiguin    	 hiäđoigijn    	 hiäđuiguin    	 hiäđuigijn    
16	Pl+Abe	 hiäđoittáá    	 hiäđuittáá    		
	kiäpu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 kiäpu    			
2	Sg+Gen	 kiävu    	 kiävo    		
3	Sg+Acc	 kiävu    	 kiävo    		
4	Sg+Ill	 kiäpun    			
5	Sg+Loc	 kiävust    	 kiävoost    		
6	Sg+Com	 kiävoin    	 kiävooin    		
7	Sg+Abe	 kiävuttáá    	 kiävottáá    		
8	Ess	 kiäppun    			
9	Par	 kiäppud    			
10	Pl+Nom	 kiävuh    	 kiävoh    		
11	Pl+Gen	 kiävui    	 kiävoi    		
12	Pl+Acc	 kiävuid    	 kiävoid    		
13	Pl+Ill	 kiävooid    	 kiävoid    		
14	Pl+Loc	 kiävuin    	 kiävoin    		
15	Pl+Com	 kiävuiguin    	 kiävuigijn    	 kiävoiguin    	 kiävoigijn    
16	Pl+Abe	 kiävuittáá    	 kiävoittáá    		
	kiäsu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 kiäsu    			
2	Sg+Gen	 kiäsu    	 kiäso    		
3	Sg+Acc	 kiäsu    	 kiäso    		
4	Sg+Ill	 kiäsun    			
5	Sg+Loc	 kiäsust    	 kiäsoost    		
6	Sg+Com	 kiäsoin    	 kiäsooin    		
7	Sg+Abe	 kiäsuttáá    	 kiäsottáá    		
8	Ess	 kiässun    			
9	Par	 kiässud    			
10	Pl+Nom	 kiäsuh    	 kiäsoh    		
11	Pl+Gen	 kiäsui    	 kiäsoi    		
12	Pl+Acc	 kiäsuid    	 kiäsoid    		
13	Pl+Ill	 kiäsooid    	 kiäsoid    		
14	Pl+Loc	 kiäsuin    	 kiäsoin    		
15	Pl+Com	 kiäsuiguin    	 kiäsuigijn    	 kiäsoiguin    	 kiäsoigijn    
16	Pl+Abe	 kiäsuittáá    	 kiäsoittáá    		
	liäpu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 liäpu    			
2	Sg+Gen	 liävu    	 liävo    		
3	Sg+Acc	 liävu    	 liävo    		
4	Sg+Ill	 liäpun    			
5	Sg+Loc	 liävust    	 liävoost    		
6	Sg+Com	 liävoin    	 liävooin    		
7	Sg+Abe	 liävuttáá    	 liävottáá    		
8	Ess	 liäppun    			
9	Par	 liäppud    			
10	Pl+Nom	 liävuh    	 liävoh    		
11	Pl+Gen	 liävui    	 liävoi    		
12	Pl+Acc	 liävuid    	 liävoid    		
13	Pl+Ill	 liävooid    	 liävoid    		
14	Pl+Loc	 liävuin    	 liävoin    		
15	Pl+Com	 liävuiguin    	 liävuigijn    	 liävoiguin    	 liävoigijn    
16	Pl+Abe	 liävuittáá    	 liävoittáá    		
	liäsu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 liäsu    			
2	Sg+Gen	 liäsu    	 liäso    		
3	Sg+Acc	 liäsu    	 liäso    		
4	Sg+Ill	 liäsun    			
5	Sg+Loc	 liäsust    	 liäsoost    		
6	Sg+Com	 liäsoin    	 liäsooin    		
7	Sg+Abe	 liäsuttáá    	 liäsottáá    		
8	Ess	 liäsun    			
9	Par	 liäsud    			
10	Pl+Nom	 liäsuh    	 liäsoh    		
11	Pl+Gen	 liäsui    	 liäsoi    		
12	Pl+Acc	 liäsuid    	 liäsoid    		
13	Pl+Ill	 liäsooid    	 liäsoid    		
14	Pl+Loc	 liäsuin    	 liäsoin    		
15	Pl+Com	 liäsuiguin    	 liäsuigijn    	 liäsoiguin    	 liäsoigijn    
16	Pl+Abe	 liäsuittáá    	 liäsoittáá    		
	piätu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 piätu    			
2	Sg+Gen	 piäđo    	 piäđu    		
3	Sg+Acc	 piäđo    	 piäđu    		
4	Sg+Ill	 piätun    			
5	Sg+Loc	 piäđoost    	 piäđust    		
6	Sg+Com	 piäđoin    	 piäđooin    		
7	Sg+Abe	 piäđottáá    	 piäđuttáá    		
8	Ess	 piättun    			
9	Par	 piättud    			
10	Pl+Nom	 piäđoh    	 piäđuh    		
11	Pl+Gen	 piäđoi    	 piäđui    		
12	Pl+Acc	 piäđoid    	 piäđuid    		
13	Pl+Ill	 piäđooid    	 piäđoid    		
14	Pl+Loc	 piäđoin    	 piäđuin    		
15	Pl+Com	 piäđoiguin    	 piäđoigijn    	 piäđuiguin    	 piäđuigijn    
16	Pl+Abe	 piäđoittáá    	 piäđuittáá    		
	riäpu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 riäpu    			
2	Sg+Gen	 riävu    	 riävo    		
3	Sg+Acc	 riävu    	 riävo    		
4	Sg+Ill	 riäpun    			
5	Sg+Loc	 riävust    	 riävoost    		
6	Sg+Com	 riävoin    	 riävooin    		
7	Sg+Abe	 riävuttáá    	 riävottáá    		
8	Ess	 riäppun    			
9	Par	 riäppud    			
10	Pl+Nom	 riävuh    	 riävoh    		
11	Pl+Gen	 riävui    	 riävoi    		
12	Pl+Acc	 riävuid    	 riävoid    		
13	Pl+Ill	 riävooid    	 riävoid    		
14	Pl+Loc	 riävuin    	 riävoin    		
15	Pl+Com	 riävuiguin    	 riävuigijn    	 riävoiguin    	 riävoigijn    
16	Pl+Abe	 riävuittáá    	 riävoittáá    		
	siätu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 siätu    			
2	Sg+Gen	 siäđo    	 siäđu    		
3	Sg+Acc	 siäđo    	 siäđu    		
4	Sg+Ill	 siätun    			
5	Sg+Loc	 siäđoost    	 siäđust    		
6	Sg+Com	 siäđoin    	 siäđooin    		
7	Sg+Abe	 siäđottáá    	 siäđuttáá    		
8	Ess	 siättun    			
9	Par	 siättud    			
10	Pl+Nom	 siäđoh    	 siäđuh    		
11	Pl+Gen	 siäđoi    	 siäđui    		
12	Pl+Acc	 siäđoid    	 siäđuid    		
13	Pl+Ill	 siäđooid    	 siäđoid    		
14	Pl+Loc	 siäđoin    	 siäđuin    		
15	Pl+Com	 siäđoiguin    	 siäđoigijn    	 siäđuiguin    	 siäđuigijn    
16	Pl+Abe	 siäđoittáá    	 siäđuittáá    		
	tiätu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 tiätu    			
2	Sg+Gen	 tiäđu    	 tiäđo    		
3	Sg+Acc	 tiäđu    	 tiäđo    		
4	Sg+Ill	 tiätun    			
5	Sg+Loc	 tiäđust    	 tiäđoost    		
6	Sg+Com	 tiäđoin    	 tiäđooin    		
7	Sg+Abe	 tiäđuttáá    	 tiäđottáá    		
8	Ess	 tiättun    			
9	Par	 tiättud    			
10	Pl+Nom	 tiäđuh    	 tiäđoh    		
11	Pl+Gen	 tiäđui    	 tiäđoi    		
12	Pl+Acc	 tiäđuid    	 tiäđoid    		
13	Pl+Ill	 tiäđooid    	 tiäđoid    		
14	Pl+Loc	 tiäđuin    	 tiäđoin    		
15	Pl+Com	 tiäđuiguin    	 tiäđuigijn    	 tiäđoiguin    	 tiäđoigijn    
