kolgâđ	kalga
prooseent	prosenttid
palvâlus	palvâlussáid
vátámuš	vátámušâid
nuorttâsämmil	nuorttâsämmilijd
mield	mield
uásild	uásild
kuoskâđ	kyeskee
kuullâđ	kullee
aassâđ	ässee
Sämitigge	Sämitigge
sehe	sehe
kote	kote
ihe	ive
algâaalmug	algâaalmug	
aalmug	aalmugeh	
nabdeđ	nabdojeh	
äässih
sajattâh
ääigi
kirjejui
táálái
aasâi
riijkârajij
sämmilij
nuorttâsämmilij
paijeel
väldidem
asâttem
jiešhaldâšem
sijdâčuákkim
väljejum
asâttum
šoddâm
eennâm
siäiluttâm
lasseen
algâaalmugin
tagarin
vaaljâiguin
virgeomâháin
enâmijn
ulguubeln
union
vuáđulaahân
suullân
tiäđujyehimân
jiešhaaldâšmân
puohnâssân
máttááttâsân
ko
arvuštâlloo
áinoo
juo
Euroop
iäláttâsâidis
vuáháduvâidis
kulttuuris
ohtsis
päikkikuávlustis
sajattuvâstis
päikkikuávlus
jiejâs
jieijâs
kielâs
Jiečânâs
et
parlament
aalmugist
rääjist
kevttimist
enâmist
kuávlust
nuorttâlâškuávlust
oovdâst
Suomâst
Taažâst
ollásávt
aasât
kuávlu
sämikuávlu
jieškote-uv
kulá
peerusthánnáá
enâmustáá
hoittáá
sämikielâ
Suomâ
vuáđulaavâ
nuorttâlâšlaavâ
uđđâ
anneeđ
ovdediđ
toollâđ
lamaš
jieš
šáddááš
sosiaallâš
ekonoomlâš
kulttuurlâš
poolitlâš
ärbivuáválâš
sämikielâlâš
eennâmtieđâlâš
vuoigâdvuođâlâš
miäldásâš
