	lajo	Spelling_1	Spelling_2
1	Sg+Nom	 lajo    			
2	Sg+Gen	 lajo    			
3	Sg+Acc	 lajo    			
4	Sg+Ill	 lajon    			
5	Sg+Loc	 laajoost    			
6	Sg+Com	 lajoin    			
7	Sg+Abe	 lajottáá    			
8	Ess	 laijoon    			
9	Par	 laijood    			
10	Pl+Nom	 lajoh    			
11	Pl+Gen	 lajoi    			
12	Pl+Acc	 lajoid    			
13	Pl+Ill	 lajoid    			
14	Pl+Loc	 lajoin    			
15	Pl+Com	 lajoiguin    	 lajoigijn    
16	Pl+Abe	 lajoittáá    			
	ano	Spelling_1	Spelling_2
1	Sg+Nom	 ano    			
2	Sg+Gen	 ano    			
3	Sg+Acc	 ano    			
4	Sg+Ill	 anon    			
5	Sg+Loc	 aanoost    			
6	Sg+Com	 anoin    			
7	Sg+Abe	 anottáá    			
8	Ess	 annoon    			
9	Par	 annood    			
10	Pl+Nom	 anoh    			
11	Pl+Gen	 anoi    			
12	Pl+Acc	 anoid    			
13	Pl+Ill	 anoid    			
14	Pl+Loc	 anoin    			
15	Pl+Com	 anoiguin    	 anoigijn    
16	Pl+Abe	 anoittáá    			
	mano	Spelling_1	Spelling_2
1	Sg+Nom	 mano    			
2	Sg+Gen	 mano    			
3	Sg+Acc	 mano    			
4	Sg+Ill	 manon    			
5	Sg+Loc	 maanoost    			
6	Sg+Com	 manoin    			
7	Sg+Abe	 manottáá    			
8	Ess	 mannoon    			
9	Par	 mannood    			
10	Pl+Nom	 manoh    			
11	Pl+Gen	 manoi    			
12	Pl+Acc	 manoid    			
13	Pl+Ill	 manoid    			
14	Pl+Loc	 manoin    			
15	Pl+Com	 manoiguin    	 manoigijn    
16	Pl+Abe	 manoittáá    			
	njamo	Spelling_1	Spelling_2
1	Sg+Nom	 njamo    			
2	Sg+Gen	 njamo    			
3	Sg+Acc	 njamo    			
4	Sg+Ill	 njamon    			
5	Sg+Loc	 njaamoost    			
6	Sg+Com	 njamoin    			
7	Sg+Abe	 njamottáá    			
8	Ess	 njammoon    			
9	Par	 njammood    			
10	Pl+Nom	 njamoh    			
11	Pl+Gen	 njamoi    			
12	Pl+Acc	 njamoid    			
13	Pl+Ill	 njamoid    			
14	Pl+Loc	 njamoin    			
15	Pl+Com	 njamoiguin    	 njamoigijn    
16	Pl+Abe	 njamoittáá    			
	palo	Spelling_1	Spelling_2
1	Sg+Nom	 palo    			
2	Sg+Gen	 palo    			
3	Sg+Acc	 palo    			
4	Sg+Ill	 palon    			
5	Sg+Loc	 paaloost    			
6	Sg+Com	 paloin    			
7	Sg+Abe	 palottáá    			
8	Ess	 palloon    			
9	Par	 pallood    			
10	Pl+Nom	 paloh    			
11	Pl+Gen	 paloi    			
12	Pl+Acc	 paloid    			
13	Pl+Ill	 paloid    			
14	Pl+Loc	 paloin    			
15	Pl+Com	 paloiguin    	 paloigijn   
16	Pl+Abe	 paloittáá    			
	vajo	Spelling_1	Spelling_2
1	Sg+Nom	 vajo    			
2	Sg+Gen	 vajo    			
3	Sg+Acc	 vajo    			
4	Sg+Ill	 vajon    			
5	Sg+Loc	 vaajoost    			
6	Sg+Com	 vajoin    			
7	Sg+Abe	 vajottáá    			
8	Ess	 vaijoon    			
9	Par	 vaijood    			
10	Pl+Nom	 vajoh    			
11	Pl+Gen	 vajoi    			
12	Pl+Acc	 vajoid    			
13	Pl+Ill	 vajoid    			
14	Pl+Loc	 vajoin    			
15	Pl+Com	 vajoiguin    	 vajoigijn    
16	Pl+Abe	 vajoittáá    			
	himo	Spelling_1	Spelling_2
1	Sg+Nom	 himo    			
2	Sg+Gen	 himo    			
3	Sg+Acc	 himo    			
4	Sg+Ill	 himon    			
5	Sg+Loc	 hiimoost    			
6	Sg+Com	 himoin    			
7	Sg+Abe	 himottáá    			
8	Ess	 himmoon    			
9	Par	 himmood    			
10	Pl+Nom	 himoh    			
11	Pl+Gen	 himoi    			
12	Pl+Acc	 himoid    			
13	Pl+Ill	 himoid    			
14	Pl+Loc	 himoin    			
15	Pl+Com	 himoiguin    	 himoigijn    
16	Pl+Abe	 himoittáá    			
	ilo	Spelling_1	Spelling_2
1	Sg+Nom	 ilo    			
2	Sg+Gen	 ilo    			
3	Sg+Acc	 ilo    			
4	Sg+Ill	 ilon    			
5	Sg+Loc	 iiloost    			
6	Sg+Com	 iloin    			
7	Sg+Abe	 ilottáá    			
