	lajo	Spelling_1	Spelling_2
8	Ess	 illoon    			
9	Par	 illood    			
10	Pl+Nom	 iloh    			
11	Pl+Gen	 iloi    			
12	Pl+Acc	 iloid    			
13	Pl+Ill	 iloid    			
14	Pl+Loc	 iloin    			
15	Pl+Com	 iloiguin    	 iloigijn    
16	Pl+Abe	 iloittáá    			
	pino	Spelling_1	Spelling_2
1	Sg+Nom	 pino    			
2	Sg+Gen	 pino    			
3	Sg+Acc	 pino    			
4	Sg+Ill	 pinon    			
5	Sg+Loc	 piinoost    			
6	Sg+Com	 pinoin    			
7	Sg+Abe	 pinottáá    			
8	Ess	 pinnoon    			
9	Par	 pinnood    			
10	Pl+Nom	 pinoh    			
11	Pl+Gen	 pinoi    			
12	Pl+Acc	 pinoid    			
13	Pl+Ill	 pinoid    			
14	Pl+Loc	 pinoin    			
15	Pl+Com	 pinoiguin    	 pinoigijn    
16	Pl+Abe	 pinoittáá    			
	riđo	Spelling_1	Spelling_2
1	Sg+Nom	 riđo    			
2	Sg+Gen	 riđo    			
3	Sg+Acc	 riđo    			
4	Sg+Ill	 riđon    			
5	Sg+Loc	 riiđoost    			
6	Sg+Com	 riđoin    			
7	Sg+Abe	 riđottáá    			
8	Ess	 riđđoon    			
9	Par	 riđđood    			
10	Pl+Nom	 riđoh    			
11	Pl+Gen	 riđoi    			
12	Pl+Acc	 riđoid    			
13	Pl+Ill	 riđoid    			
14	Pl+Loc	 riđoin    			
15	Pl+Com	 riđoiguin    	 riđoigijn    
16	Pl+Abe	 riđoittáá    			
	sino	Spelling_1	Spelling_2
1	Sg+Nom	 sino    			
2	Sg+Gen	 sino    			
3	Sg+Acc	 sino    			
4	Sg+Ill	 sinon    			
5	Sg+Loc	 siinoost    			
6	Sg+Com	 sinoin    			
7	Sg+Abe	 sinottáá    			
8	Ess	 sinnoon    			
9	Par	 sinnood    			
10	Pl+Nom	 sinoh    			
11	Pl+Gen	 sinoi    			
12	Pl+Acc	 sinoid    			
13	Pl+Ill	 sinoid    			
14	Pl+Loc	 sinoin    			
15	Pl+Com	 sinoiguin    	 sinoigijn   
16	Pl+Abe	 sinoittáá    			
	sivo	Spelling_1	Spelling_2
1	Sg+Nom	 sivo    			
2	Sg+Gen	 sivo    			
3	Sg+Acc	 sivo    			
4	Sg+Ill	 sivon    			
5	Sg+Loc	 siivoost    			
6	Sg+Com	 sivoin    			
7	Sg+Abe	 sivottáá    			
8	Ess	 sivvoon    			
9	Par	 sivvood    			
10	Pl+Nom	 sivoh    			
11	Pl+Gen	 sivoi    			
12	Pl+Acc	 sivoid    			
13	Pl+Ill	 sivoid    			
14	Pl+Loc	 sivoin    			
15	Pl+Com	 sivoiguin    	 sivoigijn    
16	Pl+Abe	 sivoittáá    			
	vilo	Spelling_1	Spelling_2
1	Sg+Nom	 vilo    			
2	Sg+Gen	 vilo    			
3	Sg+Acc	 vilo    			
4	Sg+Ill	 vilon    			
5	Sg+Loc	 viiloost    			
6	Sg+Com	 viloin    			
7	Sg+Abe	 vilottáá    			
8	Ess	 villoon    			
9	Par	 villood    			
10	Pl+Nom	 viloh    			
11	Pl+Gen	 viloi    			
12	Pl+Acc	 viloid    			
13	Pl+Ill	 viloid    			
14	Pl+Loc	 viloin    			
15	Pl+Com	 viloiguin    	 viloigijn    
16	Pl+Abe	 viloittáá    			
	čođo	Spelling_1	Spelling_2
1	Sg+Nom	 čođo    			
2	Sg+Gen	 čođo    			
3	Sg+Acc	 čođo    			
4	Sg+Ill	 čođon    			
5	Sg+Loc	 čoođoost    			
6	Sg+Com	 čođoin    			
7	Sg+Abe	 čođottáá    			
8	Ess	 čođđoon    			
9	Par	 čođđood    			
10	Pl+Nom	 čođoh    			
11	Pl+Gen	 čođoi    			
12	Pl+Acc	 čođoid    			
13	Pl+Ill	 čođoid    			
14	Pl+Loc	 čođoin    			
15	Pl+Com	 čođoiguin    	 čođoigijn    
16	Pl+Abe	 čođoittáá    			
	joro	Spelling_1	Spelling_2
1	Sg+Nom	 joro    			
2	Sg+Gen	 joro    			
3	Sg+Acc	 joro    			
4	Sg+Ill	 joron    			
5	Sg+Loc	 jooroost    			
6	Sg+Com	 joroin    			
7	Sg+Abe	 jorottáá    			
8	Ess	 jorroon    			
9	Par	 jorrood    			
10	Pl+Nom	 joroh    			
11	Pl+Gen	 joroi    			
12	Pl+Acc	 joroid    			
13	Pl+Ill	 joroid    			
14	Pl+Loc	 joroin    			
15	Pl+Com	 joroiguin    	 joroigijn    
16	Pl+Abe	 joroittáá    			
	kođo	Spelling_1	Spelling_2
1	Sg+Nom	 kođo    			
2	Sg+Gen	 kođo    			
3	Sg+Acc	 kođo    			
4	Sg+Ill	 kođon    			
5	Sg+Loc	 koođoost    			
6	Sg+Com	 kođoin    			
7	Sg+Abe	 kođottáá    			
8	Ess	 kođđoon    			
9	Par	 kođđood    			
10	Pl+Nom	 kođoh    			
11	Pl+Gen	 kođoi    			
12	Pl+Acc	 kođoid    			
13	Pl+Ill	 kođoid    			
14	Pl+Loc	 kođoin    			
15	Pl+Com	 kođoiguin    	 kođoigijn    
16	Pl+Abe	 kođoittáá    			
	kojo	Spelling_1	Spelling_2
1	Sg+Nom	 kojo    			
2	Sg+Gen	 kojo    			
3	Sg+Acc	 kojo    			
4	Sg+Ill	 kojon    			
5	Sg+Loc	 koojoost    			
6	Sg+Com	 kojoin    			
7	Sg+Abe	 kojottáá    			
8	Ess	 koijoon    			
9	Par	 koijood    			
10	Pl+Nom	 kojoh    			
11	Pl+Gen	 kojoi    			
12	Pl+Acc	 kojoid    			
13	Pl+Ill	 kojoid    			
14	Pl+Loc	 kojoin    			
15	Pl+Com	 kojoiguin    	 kojoigijn    
16	Pl+Abe	 kojoittáá    			
	kolo	Spelling_1	Spelling_2
1	Sg+Nom	 kolo    			
2	Sg+Gen	 kolo    			
3	Sg+Acc	 kolo    			
4	Sg+Ill	 kolon    			
5	Sg+Loc	 kooloost    			
6	Sg+Com	 koloin    			
7	Sg+Abe	 kolottáá    			
8	Ess	 kolloon    			
9	Par	 kollood    			
10	Pl+Nom	 koloh    			
11	Pl+Gen	 koloi    			
12	Pl+Acc	 koloid    			
13	Pl+Ill	 koloid    			
14	Pl+Loc	 koloin    			
15	Pl+Com	 koloiguin    	 koloigijn    
16	Pl+Abe	 koloittáá    			
	lonjo	Spelling_1	Spelling_2
1	Sg+Nom	 lonjo    			
2	Sg+Gen	 lonjo    			
3	Sg+Acc	 lonjo    			
4	Sg+Ill	 lonjon    			
5	Sg+Loc	 loonjoost    			
6	Sg+Com	 lonjoin    			
7	Sg+Abe	 lonjottáá    			
8	Ess	 lonnjoon    			
9	Par	 lonnjood    			
10	Pl+Nom	 lonjoh    			
11	Pl+Gen	 lonjoi    			
12	Pl+Acc	 lonjoid    			
13	Pl+Ill	 lonjoid    			
14	Pl+Loc	 lonjoin    			
15	Pl+Com	 lonjoiguin    	 lonjoigijn    
16	Pl+Abe	 lonjoittáá    			
	omo	Spelling_1	Spelling_2
1	Sg+Nom	 omo    			
2	Sg+Gen	 omo    			
3	Sg+Acc	 omo    			
4	Sg+Ill	 omon    			
5	Sg+Loc	 oomoost    			
6	Sg+Com	 omoin    			
7	Sg+Abe	 omottáá    			
8	Ess	 ommoon    			
9	Par	 ommood    			
10	Pl+Nom	 omoh    			
11	Pl+Gen	 omoi    			
12	Pl+Acc	 omoid    			
13	Pl+Ill	 omoid    			
14	Pl+Loc	 omoin    			
15	Pl+Com	 omoiguin    	 omoigijn    
16	Pl+Abe	 omoittáá    			
	sojo	Spelling_1	Spelling_2
1	Sg+Nom	 sojo    			
2	Sg+Gen	 sojo    			
3	Sg+Acc	 sojo    			
4	Sg+Ill	 sojon    			
5	Sg+Loc	 soojoost    			
6	Sg+Com	 sojoin    			
7	Sg+Abe	 sojottáá    			
8	Ess	 soijoon    			
9	Par	 soijood    			
10	Pl+Nom	 sojoh    			
11	Pl+Gen	 sojoi    			
12	Pl+Acc	 sojoid    			
13	Pl+Ill	 sojoid    			
14	Pl+Loc	 sojoin    			
15	Pl+Com	 sojoiguin    	 sojoigijn    
16	Pl+Abe	 sojoittáá    			
	soro	Spelling_1	Spelling_2
1	Sg+Nom	 soro    			
2	Sg+Gen	 soro    			
3	Sg+Acc	 soro    			
4	Sg+Ill	 soron    			
5	Sg+Loc	 sooroost    			
6	Sg+Com	 soroin    			
7	Sg+Abe	 sorottáá    			
8	Ess	 sorroon    			
9	Par	 sorrood    			
10	Pl+Nom	 soroh    			
11	Pl+Gen	 soroi    			
12	Pl+Acc	 soroid    			
13	Pl+Ill	 soroid    			
14	Pl+Loc	 soroin    			
15	Pl+Com	 soroiguin    	 soroigijn    
16	Pl+Abe	 soroittáá    			
	kulo	Spelling_1	Spelling_2
1	Sg+Nom	 kulo    			
2	Sg+Gen	 kulo    			
3	Sg+Acc	 kulo    			
4	Sg+Ill	 kulon    			
5	Sg+Loc	 kuuloost    			
6	Sg+Com	 kuloin    			
7	Sg+Abe	 kulottáá    			
8	Ess	 kulloon    			
9	Par	 kullood    			
10	Pl+Nom	 kuloh    			
11	Pl+Gen	 kuloi    			
12	Pl+Acc	 kuloid    			
13	Pl+Ill	 kuloid    			
14	Pl+Loc	 kuloin    			
15	Pl+Com	 kuloiguin    	 kuloigijn    
16	Pl+Abe	 kuloittáá    			
