[eebir: iäbbár , iäbbárân , iäbbárist , iäbbáráin
avram : avraamáin, avraamist, avraamân, avram
avâštâs : avâštâssáin, avâštâsâst, avâštâsân, avâštâs
avžuuttâs : avžuuttâssáin, avžuuttâsâst, avžuuttâsân, avžuuttâs
aŋgerias : aŋgeriasáin, aŋgeriasist, aŋgeriasân, aŋgerias
aččinj : aččinjáin, aččinjist, aččinjân, aččinj
baanaan : bananáin, bananist, bananân, baanaan
baari : baarijn, baarist, baarin, baari
baarook : barokáin, barokist, barokân, baarook
baarook : barokkáin, barokkist, barokkân, baarook
bakteer : bakteeráin, bakteerist, bakteerân, bakteer
balkan : balkanáin, balkanist, balkanân, balkan
bauksit : bauksitáin, bauksitist, bauksitân, bauksit
beetoon : betonáin, betonist, betonân, beetoon
bensin : bensináin, bensinist, bensinân, bensin
biologia : biologiain, biologiast, biologian, biologia
budjet : budjetáin, budjetist, budjetân, budjet
bulevard : bulevardáin, bulevardist, bulevardân, bulevard
ceelhâ : celkkuin, celkkust, celkkui, celkkuu
ciepâs : cieppâsáin, cieppâsist, cieppâsân, cieppâs
ciirgâs : cirgâsáin, cirgâsist, cirgâsân, cirgâs
ciirrân : cirânáin, cirânist, cirânân, ciirrân
cirgom : cirgomáin, cirgomist, cirgomân, cirgom
cirrá : cirráin, cirráást, ciirán, cirá
cirrá : cirá , ciirán , cirráást , cirráin
cissááš : cissáá , cissáážân , cissáást , cissáin
civkkee : civkkein, civkkest, civkkei, civkkee
ciälkkámuš : ciälkkámuššáin, ciälkkámušâst, ciälkkámušân, ciälkkámuš
ciävzámâš : ciävzámâššáin, ciävzámâšâst, ciävzámâšân, ciävzámâš
cooggâlm : cogâlmáin, cogâlmist, cogâlmân, cooggâlm
cumme : cume , cuumán , cummeest , cummijn
cuoppâ : cuopâ , cuopân , cuopâst , cuoppáin
cuovkkânem : cuovkkânmáin, cuovkkânmist, cuovkkânmân, cuovkkânem
cuozzâ : cuozâ , cuozân , cuozâst , cuozzáin
cuullân : culânáin, culânist, culânân, cuullân
cuábui : cuobbuin, cuobbust, cuobbui, cuobbuu
cuábui : cuobbuu , cuobbui , cuobbust , cuobbuin
cuápci : cuápci , cuápcán , cuápcist , copcijn
cuáŋui : cuoŋŋuin, cuoŋŋust, cuoŋŋui, cuoŋŋuu
dekkar : dekkaráin, dekkarist, dekkarân, dekkar
delta : deltain, deltaast, deeltan, delta
delta : deltain, deltast, deltan, delta
demokratia : demokratiain, demokratiast, demokratian, demokratia
desibel : desibeláin, desibelist, desibelân, desibel
desimaal : desimaaláin, desimaalist, desimaalân, desimaal
diabaas : diabaasáin, diabaasist, diabaasân, diabaas
diabetes : diabetesáin, diabetesist, diabetesân, diabetes
