1045557 
42469 já	já+CC
 443 Morottaja	Morottaja+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 443 Morottaja	Morottaja+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
 443 Morottaja	Morottaja+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
 423 Mij	mun+Pron+Pers+Pl1+Nom
 423 Mij	mun+Pron+Pers+Pl1+Acc
 421 kuus	kuus+Adv
 412 pirrâ	pirrâ+Pr
 404 siste	sun+Pron+Pers+Pl3+Loc
 404 siste	siste+Adv
 402 Sij	sun+Pron+Pers+Pl3+Nom
 402 Sij	sun+Pron+Pers+Pl3+Acc
 392 tađe	tot+Pron+Dem+Sg+Par
 384 Tom	tot+Pron+Dem+Sg+Acc
 384 Tom	Tom+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 379 Taan	Ta+CmpNP/None+OLang/UNDN+Prop+Sem/Plc+Sg+Ill
 378 moos	mii+Pron+Interr+Sg+Ill
 371 Lijjim	leđe+V+IV+Ind+Prt+Sg1
 363 rasta	rasta+Adv
 362 äijih	äijih+N+Sg+Nom
 362 äijih	äijih+N+Sg+Gen
 362 äijih	äijih+N+Sg+Acc
 362 ellee	ij+V+Neg+Imprt+Du2
 359 Must	mun+Pron+Pers+Sg1+Loc
 350 Myerji	myerji+N+Sg+Nom
 339 lává	leđe+V+IV+Ind+Prs+Du3
 337 ja	ja+CC
 332 mist	mun+Pron+Pers+Pl1+Loc
 331 veik	veik+CS
 330 Lii	leđe+V+IV+Ind+Prs+Sg3
 325 pajas	pajas+Adv
 325 kii	kii+Pron+Interr+Sg+Nom
 322 čääci	čääci+N+Sg+Nom
 322 čääci	čääci+N+Sg+Gen
 322 čääci	čääci+N+Sg+Acc
 320 munnuu	mun+Pron+Pers+Du1+Gen
 320 munnuu	mun+Pron+Pers+Du1+Acc
 315 moin	mii+Pron+Interr+Sg+Com
 313 Maati	Maati+N+Prop+Attr
 312 Suu	sun+Pron+Pers+Sg3+Gen
 312 Suu	sun+Pron+Pers+Sg3+Acc
 310 tyehin	tyehin+Adv
 306 viijmâg	viijmâg+Adv
 304 nieidâ	nieidâ+N+Sg+Nom
 304 nieidâ	nieidâ+N+Sg+Gen
 304 nieidâ	nieidâ+N+Sg+Acc
 299 mijjân	mun+Pron+Pers+Pl1+Ill
 297 Mane	mane+N+Sg+Nom
 285 Säämist	säämi+N+Sg+Loc
 281 Puoh	puoh+Adv
 277 jieh	ij+V+Neg+Prs+Sg2
 277 ep	ij+V+Neg+Prs+Pl1
 271 Tun	tun+Pron+Pers+Sg2+Nom
 268 tunjin	tun+Pron+Pers+Sg2+Ill
 264 uđđâsist	uđđâsist+Adv
 258 rääjist	rääjist+Po
 257 sunnuu	sun+Pron+Pers+Du3+Gen
 257 sunnuu	sun+Pron+Pers+Du3+Acc
 256 Mon	mii+Pron+Interr+Sg+Gen
 256 Mon	mii+Pron+Interr+Sg+Acc
 254 moi	mii+Pron+Interr+Pl+Gen
 252 maggaar	maggaar+Pron+Indef
 244 lep	leđe+V+IV+Ind+Prs+Pl1
 242 tust	tun+Pron+Pers+Sg2+Loc
 238 täst	täst+Adv
 229 lappâd	lappâd+Adv
 229 Avveel	Avveel+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 229 Avveel	Avveel+N+Prop+Sg+Nom
 226 kyeli	kyeli+N+Sg+Nom
 226 kyeli	kyeli+N+Sg+Gen
 226 kyeli	kyeli+N+Sg+Acc
 225 kaavpug	kaavpug+N+Sg+Nom
 225 kaavpug	kaavpug+N+Sg+Gen
 225 kaavpug	kaavpug+N+Sg+Acc
 224 Ákku	ákku+N+Sg+Nom
 224 Ákku	ákku+N+Sg+Gen
 224 Ákku	ákku+N+Sg+Acc
 224 Ákku	Ákku+N+Prop+Sg+Nom
 223 mun-uv	mun+Pron+Pers+Sg1+Nom+Qst
 223 láim	leđe+V+IV+Ind+Prt+Du1
 218 Aikio	Aikio+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 218 Aikio	Aikio+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
 218 Aikio	Aikio+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
 217 tälviv	tälviv+Adv
 215 Suoi	sun+Pron+Pers+Du3+Nom
 215 Eeči	eeči+N+Sg+Nom
 215 Eeči	eeči+N+Sg+Gen
 215 Eeči	eeči+N+Sg+Acc
 214 vissásávt	vissásávt+Adv
 212 čohčuv	čohčuv+Adv
 212 keessiv	keessiv+Adv
 209 njune	njune+N+Sg+Nom
 208 kukken	kukken+Adv
 207 Ive	ihe+N+Sg+Gen
 207 Ive	ihe+N+Sg+Acc
 207 Ive	Ive+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
 207 Ive	Ive+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
 207 Ive	Ive+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
 206 tággáár	tággáár+Pron+Indef
 204 kiäst	kii+Pron+Interr+Sg+Loc
 201 kustoo	kustoo+Adv
 200 Ante	Ante+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 200 Ante	Ante+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
 200 Ante	Ante+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
 198 Lam	leđe+V+IV+Ind+Prs+Sg1
 198 Lam	Lam+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 197 toid	tot+Pron+Dem+Pl+Ill
 194 sist	sun+Pron+Pers+Pl3+Loc
 193 Ele	ij+V+Neg+Imprt+Sg2
 191 anarâš	anarâš+N+Sg+Nom
 191 anarâš	anarâš+N+Sg+Gen
 191 anarâš	anarâš+N+Sg+Acc
