1045557 
42469 já	já+CC
   6 piärgu-uv	piärgu+N+Sg+Acc+Qst
   6 nissoon-uv	nissoon+N+Sg+Nom+Qst
   6 nissoon-uv	nissoon+N+Sg+Gen+Qst
   6 nissoon-uv	nissoon+N+Sg+Acc+Qst
   6 markkânijd	markkân+N+Pl+Acc
   6 lijjiihân	leđe+V+IV+Ind+Prt+Pl3+Foc
   6 kuáppileh	kuáppil+N+Pl+Nom
   6 kiäiguin	kii+Pron+Interr+Pl+Com
   6 kiiba	kii+Pron+Interr+Sg+Nom+Foc
   6 iäba	ij+V+Neg+Prs+Pl3+Foc
   6 iä-uv	ij+V+Neg+Prs+Pl3+Qst
   6 fáddá	fáddá+N+Sg+Nom
   6 cijkko	cijkko+N+Sg+Nom
   6 Wimme	Wimme+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Wimme	Wimme+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Wimme	Wimme+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 West	West+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Wales	Wales+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Volkswagen	Volkswagen+OLang/UNDN+Prop+Sem/Obj+Sg+Nom
   6 Viljo	Viljo+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Viljo	Viljo+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Viljo	Viljo+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Valve	Valve+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Valve	Valve+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Valve	Valve+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Vaasast	Vaasa+OLang/UNDN+Prop+Sem/Plc+Sg+Loc
   6 Törmänen	Törmänen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Sunnui	sun+Pron+Pers+Du3+Ill
   6 Suez	Suez+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Solojävri	Solojävri+N+Prop+Sg+Nom
   6 Skutnabb-Kangas	Skutnabb-Kangas+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Simeon	Simeon+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Seppo	Seppo+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Seppo	Seppo+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Seppo	Seppo+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Sari	Sari+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Sari	Sari+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   6 Sari	Sari+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   6 Salonen	Salonen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Saba	Saba+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Saba	Saba+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Saba	Saba+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Risten	Risten+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   6 Reijo	Reijo+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Reijo	Reijo+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Reijo	Reijo+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Reidar	Reidar+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Ravantti	Ravantti+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Ravantti	Ravantti+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Ravantti	Ravantti+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Rasmus	Rasmus+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Ranttila	Ranttila+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Ranttila	Ranttila+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Ranttila	Ranttila+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 Radion	Radio+OLang/UNDN+Prop+Sem/Org+Sg+Ill
   6 Radion	Radio+OLang/UNDN+Prop+Sem/Org+Ess
   6 Pluto	Pluto+OLang/UNDN+Prop+Sem/Obj+Sg+Nom
   6 Pluto	Pluto+OLang/UNDN+Prop+Sem/Obj+Sg+Gen
   6 Pluto	Pluto+OLang/UNDN+Prop+Sem/Obj+Sg+Acc
   6 Peru	Peru+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Peru	Peru+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Peru	Peru+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Palo	Palo+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Palo	Palo+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Palo	Palo+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Pakkanen	Pakkanen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Pajas	pajas+Adv
   6 Paavost	Paavo+OLang/UNDN+Prop+Sem/Mal+Sg+Loc
   6 Paasilinna	Paasilinna+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Paasilinna	Paasilinna+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Paasilinna	Paasilinna+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 On	On+CmpNP/None+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Olgos	olgos+Adv
   6 Nykänen	Nykänen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Njuhčâjävri	Njuhčâjävri+N+Prop+Sg+Nom
   6 Njiävđámist	Njiävđám+N+Prop+Sg+Loc
   6 Niskanen	Niskanen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Nigeria	Nigeria+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   6 Nigeria	Nigeria+OLang/NOBN+Prop+Sem/Plc+Sg+Gen
   6 Nigeria	Nigeria+OLang/NOBN+Prop+Sem/Plc+Sg+Acc
   6 Niger	Niger+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Nieminen	Nieminen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Niemelä	Niemelä+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Niemelä	Niemelä+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Niemelä	Niemelä+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 Nahkiaisoja	Nahkiaisoja+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Nahkiaisoja	Nahkiaisoja+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Nahkiaisoja	Nahkiaisoja+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 Murmansk	Murmansk+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Molly	Molly+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Molly	Molly+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   6 Molly	Molly+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   6 Misthân	mun+Pron+Pers+Pl1+Loc+Foc
   6 Mij-uv	mun+Pron+Pers+Pl1+Nom+Qst
   6 Mij-uv	mun+Pron+Pers+Pl1+Acc+Qst
   6 Michael	Michael+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Melbourne	Melbourne+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Melbourne	Melbourne+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Melbourne	Melbourne+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Mastpa	mii+Pron+Interr+Sg+Loc+Foc
   6 Marttin-uv	Martti+OLang/UNDN+Prop+Sem/Mal+Sg+Ill+Qst
   6 Marttin-uv	Martti+OLang/UNDN+Prop+Sem/Mal+Ess+Qst
   6 Markkânij	markkân+N+Pl+Gen
   6 Mansikka-aho	Mansikka-aho+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Mansikka-aho	Mansikka-aho+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Mansikka-aho	Mansikka-aho+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 Manasse	Manasse+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Maidgis	mii+Pron+Interr+Sg+Acc+Foc
   6 Maidgis	mii+Pron+Interr+Pl+Acc+Foc
   6 Lindquist	Lindquist+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   6 Levi	Levi+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Levi	Levi+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Levi	Levi+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Leppeđ	leđe+V+IV+Ind+Prs+Pl2
   6 Kähteelááduš	Kähtee^lááduš+N+Prop+Sg+Nom
   6 Kähteejáávráš	Kähtee^jáávráš+N+Prop+Sg+Nom
   6 Kostkis	Kost+OLang/UNDN+Prop+Sem/Org+Sg+Nom+Foc
   6 Koskimaa	Koskimaa+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   6 Koskimaa	Koskimaa+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   6 Koskimaa	Koskimaa+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   6 Korsika	Korsika+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Korsika	Korsika+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Korsika	Korsika+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Komi	Komi+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Komi	Komi+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Komi	Komi+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Katrin	Katrin+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Katrin	Katri+OLang/UNDN+Prop+Sem/Fem+Sg+Ill
   6 Katrin	Katri+OLang/UNDN+Prop+Sem/Fem+Ess
   6 Kansa	Kansa+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Kansa	Kansa+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Kansa	Kansa+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Kallioniemi	Kallioniemi+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   6 Kallioniemi	Kallioniemi+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   6 Kallioniemi	Kallioniemi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   6 Kalla	Kalla+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Kalla	Kalla+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Kalla	Kalla+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Kaifas	Kaifas+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Kaamâsjuuhâ	Kaamâsjuuhâ+N+Prop+Sg+Nom
   6 Jiem-uv	ij+V+Neg+Prs+Sg1+Qst
   6 Jaakko	Jaakko+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Jaakko	Jaakko+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Jaakko	Jaakko+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Iän-uv	ij+V+Neg+Prs+Du1+Qst
   6 Inger	Inger+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Imeláin	immeel+N+Sg+Com
   6 Hohti	Hohti+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Hohti	Hohti+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Hohti	Hohti+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Hetta	Hetta+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Hetta	Hetta+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Hetta	Hetta+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Helsinki	Helsinki+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Helsinki	Helsinki+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Helsinki	Helsinki+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Gilbert	Gilbert+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Getsemane	Getsemane+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Getsemane	Getsemane+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Getsemane	Getsemane+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Everest	Everest+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Etna	Etna+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Etna	Etna+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Etna	Etna+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Ester-uv	Ester+OLang/UNDN+Prop+Sem/Fem+Sg+Nom+Qst
   6 Espoo	Espoo+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Espoo	Espoo+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Espoo	Espoo+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Elin	Elin+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Elin	Eli+OLang/UNDN+Prop+Sem/Fem+Sg+Ill
   6 Elin	Eli+OLang/UNDN+Prop+Sem/Fem+Ess
   6 Elaine	Elaine+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Elaine	Elaine+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   6 Elaine	Elaine+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   6 Eeči-uv	eeči+N+Sg+Nom+Qst
   6 Eeči-uv	eeči+N+Sg+Gen+Qst
   6 Eeči-uv	eeči+N+Sg+Acc+Qst
   6 Dodoma	Dodoma+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Dodoma	Dodoma+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Dodoma	Dodoma+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Dan	Dan+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Circus	Circus+OLang/UNDN+Prop+Sem/Org+Sg+Nom
   6 Bulgaria	Bulgaria+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   6 Bulgaria	Bulgaria+OLang/NOBN+Prop+Sem/Plc+Sg+Gen
   6 Bulgaria	Bulgaria+OLang/NOBN+Prop+Sem/Plc+Sg+Acc
   6 Budapest	Budapest+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Britannia	Britannia+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   6 Britannia	Britannia+OLang/NOBN+Prop+Sem/Plc+Sg+Gen
   6 Britannia	Britannia+OLang/NOBN+Prop+Sem/Plc+Sg+Acc
   6 Blix	Blix+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Betlehem	Betlehem+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Arin	Ari+OLang/UNDN+Prop+Sem/Mal+Sg+Ill
   6 Arin	Ari+OLang/UNDN+Prop+Sem/Mal+Ess
   6 Anne-Marie	Anne-Marie+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   6 Anne-Marie	Anne-Marie+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   6 Anne-Marie	Anne-Marie+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   6 Anastasia	Anastasia+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
   6 Anastasia	Anastasia+OLang/NOBN+Prop+Sem/Fem+Sg+Gen
   6 Anastasia	Anastasia+OLang/NOBN+Prop+Sem/Fem+Sg+Acc
   6 Alta	Altai+OLang/UNDN+Prop+Sem/Plc
   6 Alta	Alta+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Alta	Alta+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Alta	Alta+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   6 Alme	alme+N+Sg+Nom
   6 Alme	Alme+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   6 Alme	Alme+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   6 Alme	Alme+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   6 Albert	Albert+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Ailu	Ailu+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   6 Ailu	Ailu+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   6 Ailu	Ailu+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   6 Aikioin	Aikio+OLang/UNDN+Prop+Sem/Sur+Sg+Com
   6 Aikioin	Aikio+OLang/UNDN+Prop+Sem/Sur+Pl+Loc
   6 Aikioh	Aikio+OLang/UNDN+Prop+Sem/Sur+Pl+Nom
   6 Ahvenlampi	Ahvenlampi+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   6 Ahvenlampi	Ahvenlampi+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   6 Ahvenlampi	Ahvenlampi+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   5 čiävá	čiähá+N+Sg+Gen
   5 čiävá	čiähá+N+Sg+Acc
   5 Čáhálig	čáhálig+N+Sg+Nom
   5 Čáhálig	čáhálig+N+Sg+Gen
   5 Čáhálig	čáhálig+N+Sg+Acc
   5 Čaarmâvuonâ	Čaarmâvuonâ+N+Prop+Sg+Nom
   5 Øisten	Øisten+OLang/NOBN+Prop+Sem/Mal+Sg+Nom
   5 Århus	Århus+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   5 Ålborg	Ålborg+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   5 väzziv	väzziđ+V+Du3
   5 tustkis	tun+Pron+Pers+Sg2+Loc+Foc
   5 tooskin	tot+Pron+Dem+Sg+Ill+Foc
   5 säppin	säppi+N+Ess
   5 suuttáá	sun+Pron+Pers+Sg3+Abe
   5 suste	sun+Pron+Pers+Sg3+Loc
   5 suhháin	sukká+N+Sg+Com
   5 suhháin	sukká+N+Pl+Loc
   5 sollâd	sollâ+N+Par
   5 sivláid	sivlá+N+Pl+Ill
   5 sivláid	sivlá+N+Pl+Acc
   5 sijjân-uv	sun+Pron+Pers+Pl3+Ill+Qst
   5 rástágâš	rástágâš+N+Sg+Nom
   5 puttâlân	puttâl+N+Sg+Ill
   5 olmoošhân	olmooš+N+Sg+Nom+Foc
   5 olmoošhân	olmooš+N+Sg+Gen+Foc
   5 olmoošhân	olmooš+N+Sg+Acc+Foc
   5 ohtâsii	ohtâsâš+N+Sg+Gen
   5 ohtâsii	ohtâsâš+N+Sg+Acc
   5 munba	mun+Pron+Pers+Sg1+Nom+Foc
   5 mietimái	mietimái+Adv
   5 maidsun	mii+Pron+Interr+Sg+Acc+Foc
   5 maidsun	mii+Pron+Interr+Pl+Acc+Foc
   5 láába	leđe+V+IV+Ind+Prs+Pl3+Foc
   5 lippâreh	lippâr+N+Pl+Nom
   5 lep-uv	leđe+V+IV+Ind+Prs+Pl1+Qst
   5 käŋŋirân	käŋŋir+N+Sg+Ill
   5 kyeligin	kyeli+N+Sg+Nom+Foc
   5 kyeligin	kyeli+N+Sg+Gen+Foc
   5 kyeligin	kyeli+N+Sg+Acc+Foc
   5 kuáppilijd	kuáppil+N+Pl+Acc
   5 kuosâst	kuosâ+N+Sg+Loc
   5 kielâpiervâlijd	kielâpiervâl+N+Pl+Acc
   5 kielâiguin	kielâ+N+Pl+Com
   5 iän-uv	ij+V+Neg+Prs+Du1+Qst
   5 imelijd	immeel+N+Pl+Acc
   5 ergid	ergi+N+Par
   5 elehân	ij+V+Neg+Imprt+Sg2+Foc
   5 eečigin	eeči+N+Sg+Nom+Foc
   5 eečigin	eeči+N+Sg+Gen+Foc
   5 eečigin	eeči+N+Sg+Acc+Foc
   5 cekki	cekki+N+Sg+Nom
   5 cekki	cekki+N+Sg+Gen
   5 cekki	cekki+N+Sg+Acc
   5 Zürich	Zürich+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Yrjänä	Yrjänä+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Yrjänä	Yrjänä+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   5 Yrjänä	Yrjänä+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   5 Westen	Westen+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   5 Wendy	Wendy+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   5 Wendy	Wendy+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   5 Wendy	Wendy+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   5 Wallein	Walle+OLang/UNDN+Prop+Sem/Sur+Sg+Com
   5 Wallein	Walle+OLang/UNDN+Prop+Sem/Sur+Pl+Loc
   5 Walborg	Walborg+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
   5 Vättern	Vättern+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Vänern	Vänern+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Välimäki	Välimäki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   5 Välimäki	Välimäki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   5 Välimäki	Välimäki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   5 Vuomvääri	Vuomvääri+N+Prop+Sg+Nom
   5 Vuolist	vuoli+N+Sg+Loc
   5 Vuolin	vuoli+N+Sg+Ill
   5 Vuolin	vuoli+N+Ess
   5 Vatnajökull	Vatnajökull+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Vantaa	Vantaa+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   5 Vantaa	Vantaa+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   5 Vantaa	Vantaa+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   5 Vallen	Valle+OLang/UNDN+Prop+Sem/Sur+Sg+Ill
   5 Vallen	Valle+OLang/UNDN+Prop+Sem/Sur+Ess
   5 Valborg	Valborg+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
   5 Uno	Uno+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   5 Uno	Uno+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   5 Uno	Uno+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   5 Ume	Ume+OLang/UNDN+Prop+Sem/Org+Sg+Nom
   5 Ume	Ume+OLang/UNDN+Prop+Sem/Org+Sg+Gen
   5 Ume	Ume+OLang/UNDN+Prop+Sem/Org+Sg+Acc
   5 Tuupa	tun+Pron+Pers+Sg2+Gen+Foc
   5 Tuupa	tun+Pron+Pers+Sg2+Acc+Foc
   5 Turja	Turja+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Turja	Turja+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   5 Turja	Turja+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   5 Tunjin	tun+Pron+Pers+Sg2+Ill
   5 Tunisia	Tunisia+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   5 Tunisia	Tunisia+OLang/NOBN+Prop+Sem/Plc+Sg+Gen
   5 Tunisia	Tunisia+OLang/NOBN+Prop+Sem/Plc+Sg+Acc
   5 Tonttáá	tot+Pron+Dem+Sg+Abe
   5 Tobdoh	tobdo+N+Pl+Nom
   5 Tienuuvt	tienuuvt+Adv
   5 Tamperest	Tampere+OLang/FINN+Prop+Sem/Plc+Sg+Loc
   5 Tampere	Tampere+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   5 Tampere	Tampere+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   5 Tampere	Tampere+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   5 Taaveeb	Taaveeb+N+Prop+Attr
   5 Taan-uv	Ta+CmpNP/None+OLang/UNDN+Prop+Sem/Plc+Sg+Ill+Qst
   5 Sven-Roald	Sven-Roald+OLang/NOBN+Prop+Sem/Mal+Sg+Nom
   5 Surtsey	Surtsey+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Surtsey	Surtsey+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   5 Surtsey	Surtsey+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   5 Suomalainen	Suomalainen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   5 Sundsvall	Sundsvall+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Stááluroto	Stááluroto+N+Prop+Sg+Nom
   5 Siskelvuonâ	Siskelvuonâ+N+Prop+Sg+Nom
   5 Sakki	Sakki+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   5 Sakki	Sakki+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   5 Sakki	Sakki+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   5 Saab	Saab+OLang/UNDN+Prop+Sem/Obj+Sg+Nom
   5 Rhône	Rhône+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   5 Rhône	Rhône+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   5 Rhône	Rhône+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   5 Rauhala	Rauhala+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   5 Rauhala	Rauhala+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   5 Rauhala	Rauhala+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   5 Pyykkö	Pyykkö+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   5 Pyykkö	Pyykkö+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   5 Pyykkö	Pyykkö+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   5 Pontius	Pontius+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   5 Pieski	Pieski+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   5 Pieski	Pieski+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   5 Pieski	Pieski+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   5 Pieksämäki	Pieksämäki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   5 Pieksämäki	Pieksämäki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   5 Pieksämäki	Pieksämäki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   5 Petri	Petri+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   5 Petri	Petri+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   5 Petri	Petri+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   5 Persson	Persson+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   5 Pele	Pele+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   5 Pele	Pele+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   5 Pele	Pele+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   5 Pauli	Pauli+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   5 Pauli	Pauli+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   5 Pauli	Pauli+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   5 Otavan	Otava+OLang/UNDN+Prop+Sem/Plc+Sg+Ill
   5 Otavan	Otava+OLang/UNDN+Prop+Sem/Plc+Ess
   5 Onni	Onni+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   5 Onni	Onni+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
